O*NET-SOC Code	Element ID	Element Name	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Not Relevant	Date	Domain Source
11-1011.00	4.C.1.a.2.c	Public Speaking	CX	n/a	3.07	37	0.2851	2.4923	3.6486	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.c	Public Speaking	CXP	1	0.13	37	0.1370	0.0160	1.0770	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.c	Public Speaking	CXP	2	39.49	37	11.0101	20.4073	62.4299	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.c	Public Speaking	CXP	3	33.07	37	7.1359	20.4456	48.7245	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.c	Public Speaking	CXP	4	7.79	37	4.3613	2.4093	22.4457	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.c	Public Speaking	CXP	5	19.51	37	9.2893	6.8032	44.5820	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.f	Telephone Conversations	CX	n/a	4.92	35	0.0533	4.8116	5.0000	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.f	Telephone Conversations	CXP	1	0.00	35	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.f	Telephone Conversations	CXP	2	0.00	35	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.f	Telephone Conversations	CXP	3	0.00	35	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.f	Telephone Conversations	CXP	4	8.02	35	5.3268	1.9674	27.4486	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.f	Telephone Conversations	CXP	5	91.98	35	5.3268	72.5514	98.0326	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.h	E-Mail	CX	n/a	4.97	37	0.0348	4.8954	5.0000	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.h	E-Mail	CXP	1	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.h	E-Mail	CXP	2	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.h	E-Mail	CXP	3	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.h	E-Mail	CXP	4	3.41	37	3.4751	0.4149	23.0604	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.h	E-Mail	CXP	5	96.59	37	3.4751	76.9396	99.5851	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.j	Written Letters and Memos	CX	n/a	4.14	35	0.1150	3.9109	4.3782	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.j	Written Letters and Memos	CXP	1	0.00	35	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.j	Written Letters and Memos	CXP	2	2.15	35	2.1550	0.2723	14.9933	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.j	Written Letters and Memos	CXP	3	6.54	35	4.7316	1.4296	25.2313	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.j	Written Letters and Memos	CXP	4	66.02	35	11.9786	39.6295	85.1873	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.j	Written Letters and Memos	CXP	5	25.29	35	10.1707	10.1844	50.2706	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.l	Face-to-Face Discussions with Individuals and Within Teams	CX	n/a	4.90	34	0.0549	4.7838	5.0000	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.l	Face-to-Face Discussions with Individuals and Within Teams	CXP	1	0.00	34	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.l	Face-to-Face Discussions with Individuals and Within Teams	CXP	2	0.00	34	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.l	Face-to-Face Discussions with Individuals and Within Teams	CXP	3	0.51	34	0.5344	0.0607	4.1725	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.l	Face-to-Face Discussions with Individuals and Within Teams	CXP	4	9.43	34	5.2608	2.8909	26.7166	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.2.l	Face-to-Face Discussions with Individuals and Within Teams	CXP	5	90.05	34	5.3483	72.8766	96.8263	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.4	Contact With Others	CX	n/a	4.58	37	0.1598	4.2514	4.8994	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.4	Contact With Others	CXP	1	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.4	Contact With Others	CXP	2	0.00	37	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.4	Contact With Others	CXP	3	9.72	37	6.0435	2.5975	30.3210	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.4	Contact With Others	CXP	4	23.01	37	7.5333	11.2021	41.4509	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.a.4	Contact With Others	CXP	5	67.27	37	10.9297	42.8872	84.9023	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.b.1.e	Work With or Contribute to a Work Group or Team	CX	n/a	4.36	35	0.1590	4.0341	4.6804	N	n/a	08/2023	Incumbent
11-1011.00	4.C.1.b.1.e	Work With or Contribute to a Work Group or Team	CXP	1	0.00	35	0.0000	n/a	n/a	N	n/a	08/2023	Incumbent
